dependents,education,employment,annual_income,loan_amount,loan_term,cibil_score,loan_status
3, Not Graduate, Yes,2900000,7000000,4,806, Approved
1, Graduate, Yes,4900000,17700000,8,722, Approved
5, Not Graduate, No,9600000,20700000,14,442, Rejected
3, Graduate, Yes,3300000,9800000,6,360, Rejected
3, Not Graduate, No,2800000,5900000,4,461, Rejected
2, Graduate, No,7800000,22200000,10,735, Approved
4, Graduate, Yes,2500000,8400000,12,761, Approved
0, Graduate, No,4400000,10600000,20,653, Approved
0, Not Graduate, No,7900000,30800000,4,726, Approved
1, Graduate, No,8900000,22600000,18,617, Approved
0, Graduate, No,5600000,13400000,2,460, Rejected
1, Not Graduate, No,1400000,3300000,8,306, Rejected
5, Graduate, Yes,500000,1400000,4,471, Rejected
1, Graduate, Yes,5100000,15300000,4,628, Approved
3, Graduate, No,9800000,25600000,10,404, Rejected
2, Graduate, Yes,8600000,21600000,16,804, Approved
3, Not Graduate, No,1600000,3900000,20,804, Approved
1, Not Graduate, Yes,2500000,6700000,2,502, Rejected
0, Graduate, No,9500000,22600000,6,861, Approved
2, Not Graduate, Yes,3000000,7800000,14,555, Approved
0, Not Graduate, No,5100000,13600000,18,351, Rejected
2, Not Graduate, Yes,7600000,23600000,6,358, Rejected
5, Graduate, No,8800000,18800000,14,836, Approved
4, Not Graduate, Yes,1100000,2900000,4,554, Approved
3, Graduate, No,8700000,30500000,2,443, Approved
5, Not Graduate, No,6100000,23600000,4,725, Approved
2, Not Graduate, Yes,1900000,7000000,14,818, Approved
1, Not Graduate, No,9900000,38700000,6,670, Approved
0, Graduate, No,5800000,21100000,6,414, Rejected
2, Not Graduate, Yes,9500000,37000000,8,887, Approved
3, Graduate, Yes,7900000,26600000,12,409, Rejected
1, Not Graduate, Yes,1300000,4500000,14,679, Approved
4, Graduate, Yes,700000,2600000,18,478, Rejected
3, Graduate, No,600000,1200000,2,752, Approved
0, Graduate, No,9400000,33000000,4,616, Approved
2, Not Graduate, Yes,3800000,12500000,14,842, Approved
3, Graduate, Yes,7800000,26300000,20,840, Approved
3, Graduate, Yes,7800000,27700000,6,430, Rejected
4, Not Graduate, No,2700000,7000000,4,351, Rejected
5, Not Graduate, No,600000,2300000,4,347, Rejected
3, Not Graduate, Yes,8000000,28800000,10,576, Approved
0, Not Graduate, Yes,4000000,11000000,8,799, Approved
1, Not Graduate, Yes,3300000,10800000,2,550, Approved
2, Graduate, No,5800000,13300000,4,878, Approved
3, Graduate, Yes,2400000,4800000,12,895, Approved
4, Not Graduate, No,7600000,29700000,6,603, Approved
2, Not Graduate, Yes,2500000,6900000,12,325, Rejected
2, Graduate, No,3300000,11800000,4,393, Approved
3, Graduate, No,9800000,30300000,2,612, Approved
