dependents,education,employment,annual_income,loan_amount,loan_term,cibil_score,loan_status
2, Graduate, No,6400000,16900000,16,472, Rejected
1, Graduate, Yes,5500000,12100000,4,350, Rejected
1, Not Graduate, Yes,6800000,13700000,10,879, Approved
4, Not Graduate, No,6700000,13400000,10,436, Rejected
1, Graduate, Yes,5300000,11500000,14,848, Approved
2, Graduate, No,6600000,23200000,16,555, Approved
2, Graduate, No,6600000,13100000,20,885, Approved
0, Not Graduate, No,7600000,25200000,6,888, Approved
4, Not Graduate, Yes,2500000,6100000,20,478, Rejected
4, Not Graduate, No,1100000,2500000,4,603, Approved
1, Not Graduate, No,2300000,8200000,8,784, Approved
1, Graduate, Yes,3300000,11700000,4,682, Approved
4, Graduate, Yes,2600000,5900000,6,471, Rejected
4, Not Graduate, Yes,9300000,36700000,20,808, Approved
4, Not Graduate, No,5300000,18500000,8,470, Rejected
2, Not Graduate, No,5400000,13800000,20,574, Approved
4, Not Graduate, Yes,3500000,12000000,8,314, Rejected
2, Graduate, No,4200000,10200000,14,407, Rejected
0, Not Graduate, Yes,9200000,34900000,4,702, Approved
2, Graduate, No,4300000,9800000,2,499, Rejected
1, Graduate, Yes,7500000,19900000,10,669, Approved
5, Not Graduate, Yes,5400000,18800000,20,326, Rejected
3, Not Graduate, No,5500000,16200000,18,778, Approved
2, Not Graduate, Yes,2100000,4500000,2,787, Approved
0, Graduate, No,3700000,12300000,16,831, Approved
0, Graduate, No,8800000,32900000,18,576, Approved
5, Not Graduate, No,5800000,22800000,12,600, Approved
4, Graduate, No,7900000,30600000,2,569, Approved
1, Not Graduate, Yes,3100000,6300000,20,867, Approved
0, Not Graduate, No,4100000,14500000,12,441, Rejected
2, Not Graduate, Yes,9800000,32700000,2,304, Approved
5, Not Graduate, No,3300000,8400000,18,520, Rejected
0, Graduate, No,2000000,6200000,14,613, Approved
2, Not Graduate, Yes,600000,1100000,8,885, Approved
4, Not Graduate, Yes,3600000,9500000,2,841, Approved
2, Not Graduate, No,7500000,29100000,20,815, Approved
5, Graduate, Yes,200000,400000,18,822, Approved
4, Not Graduate, No,9900000,29100000,18,772, Approved
5, Graduate, Yes,6100000,22500000,6,776, Approved
4, Not Graduate, Yes,3500000,10300000,10,337, Rejected
0, Not Graduate, Yes,7800000,19000000,12,333, Rejected
3, Not Graduate, Yes,8700000,29300000,4,312, Approved
2, Graduate, Yes,5500000,12400000,14,842, Approved
3, Graduate, Yes,1800000,5100000,8,790, Approved
2, Graduate, No,8000000,31900000,16,806, Approved
5, Not Graduate, Yes,7500000,17000000,8,300, Rejected
5, Graduate, Yes,3700000,12000000,12,605, Approved
2, Graduate, Yes,1600000,4700000,12,582, Approved
5, Graduate, No,1300000,2700000,6,607, Approved
5, Graduate, Yes,2400000,8200000,10,709, Approved
4, Graduate, Yes,4100000,11600000,14,854, Approved
2, Not Graduate, Yes,7300000,15200000,20,776, Approved
1, Graduate, Yes,8000000,24600000,12,649, Approved
3, Not Graduate, No,7900000,28000000,4,394, Approved
4, Not Graduate, No,7200000,18900000,16,371, Rejected
3, Not Graduate, No,6200000,13200000,14,707, Approved
2, Not Graduate, Yes,5700000,18100000,20,491, Rejected
0, Graduate, Yes,5800000,14100000,16,570, Approved
1, Not Graduate, No,900000,3500000,18,395, Rejected
0, Not Graduate, Yes,2200000,7500000,10,497, Rejected
3, Not Graduate, Yes,1800000,5300000,14,440, Rejected
0, Not Graduate, Yes,800000,2400000,16,825, Approved
2, Graduate, Yes,7600000,18100000,14,320, Rejected
2, Graduate, Yes,4100000,13500000,4,846, Approved
3, Graduate, Yes,4600000,10900000,12,856, Approved
3, Graduate, No,2300000,6800000,10,418, Rejected
0, Not Graduate, Yes,8000000,21100000,6,306, Rejected
2, Not Graduate, Yes,3800000,14500000,16,567, Approved
2, Not Graduate, Yes,9500000,36800000,6,493, Rejected
2, Graduate, No,9300000,21200000,2,509, Rejected
4, Graduate, No,4700000,17000000,4,364, Approved
5, Not Graduate, No,6000000,24000000,20,639, Approved
2, Graduate, Yes,5500000,21700000,2,309, Approved
0, Not Graduate, Yes,4600000,14800000,6,433, Rejected
5, Not Graduate, No,9900000,33600000,20,580, Approved
1, Graduate, Yes,6200000,16200000,4,888, Approved
4, Not Graduate, Yes,400000,1100000,6,644, Approved
1, Not Graduate, Yes,7800000,22200000,10,763, Approved
0, Graduate, Yes,2900000,10800000,20,694, Approved
3, Not Graduate, No,500000,1200000,6,757, Approved
0, Not Graduate, No,2500000,6900000,12,471, Rejected
5, Not Graduate, No,9000000,35200000,2,437, Approved
4, Not Graduate, Yes,5200000,11400000,10,406, Rejected
5, Not Graduate, No,6000000,19700000,20,376, Rejected
1, Graduate, No,5100000,13800000,14,350, Rejected
5, Not Graduate, Yes,8000000,22500000,20,784, Approved
4, Graduate, Yes,9200000,25400000,14,765, Approved
4, Not Graduate, No,9800000,32200000,18,593, Approved
3, Graduate, Yes,7600000,30000000,10,344, Rejected
1, Graduate, No,5100000,11800000,12,314, Rejected
4, Graduate, Yes,1500000,3300000,16,382, Rejected
2, Not Graduate, Yes,6200000,16500000,4,510, Rejected
2, Graduate, Yes,6300000,24600000,8,464, Rejected
1, Graduate, Yes,5500000,14900000,2,403, Rejected
3, Not Graduate, No,8100000,30400000,12,606, Approved
1, Graduate, No,6300000,22000000,20,646, Approved
1, Graduate, No,1100000,3600000,20,495, Rejected
3, Not Graduate, Yes,7200000,21600000,2,626, Approved
1, Not Graduate, Yes,3000000,6000000,16,518, Rejected
5, Graduate, No,2700000,7600000,8,746, Approved
0, Not Graduate, No,5000000,16300000,12,737, Approved
0, Not Graduate, No,8400000,22300000,14,371, Rejected
1, Graduate, No,7700000,27300000,8,509, Rejected
1, Graduate, No,4700000,14000000,2,411, Rejected
2, Not Graduate, No,4300000,11800000,20,701, Approved
5, Not Graduate, No,2500000,8800000,10,769, Approved
5, Not Graduate, Yes,4400000,12500000,6,740, Approved
5, Not Graduate, No,5700000,11600000,4,892, Approved
2, Not Graduate, No,5300000,13100000,14,417, Rejected
5, Graduate, No,4600000,14400000,6,785, Approved
3, Not Graduate, No,400000,1100000,16,504, Rejected
0, Not Graduate, No,2100000,5900000,14,402, Rejected
2, Graduate, Yes,1200000,3500000,16,540, Rejected
2, Graduate, Yes,8000000,28400000,10,607, Approved
1, Graduate, Yes,5000000,19400000,10,410, Rejected
0, Not Graduate, No,8500000,17200000,12,624, Approved
4, Graduate, No,4600000,16600000,16,805, Approved
2, Graduate, No,4600000,16100000,18,709, Approved
2, Not Graduate, Yes,8500000,30900000,14,511, Rejected
