education,employment,annual_income,loan_amount,loan_term,cibil_score,loan_status
 Graduate, No,9600000,29900000,12,778, Approved
 Not Graduate, Yes,4100000,12200000,8,417, Rejected
 Graduate, No,9100000,29700000,20,506, Rejected
 Graduate, No,8200000,30700000,8,467, Rejected
 Not Graduate, Yes,9800000,24200000,20,382, Rejected
 Graduate, Yes,4800000,13500000,10,319, Rejected
 Graduate, No,8700000,33000000,4,678, Approved
 Graduate, Yes,5700000,15000000,20,382, Rejected
 Graduate, Yes,800000,2200000,20,782, Approved
 Not Graduate, No,1100000,4300000,10,388, Rejected
 Graduate, Yes,2900000,11200000,2,547, Approved
 Not Graduate, Yes,6700000,22700000,18,538, Rejected
 Not Graduate, Yes,5000000,11600000,16,311, Rejected
 Graduate, Yes,9100000,31500000,14,679, Approved
 Not Graduate, No,1900000,7400000,6,469, Rejected
 Not Graduate, No,4700000,10700000,10,794, Approved
 Graduate, Yes,500000,1600000,4,663, Approved
 Not Graduate, Yes,2900000,9400000,14,780, Approved
 Graduate, No,2700000,10300000,10,736, Approved
 Graduate, No,6300000,14600000,12,652, Approved
 Graduate, No,5000000,19400000,12,315, Rejected
 Graduate, No,5800000,14000000,16,530, Rejected
 Graduate, Yes,6500000,25700000,18,311, Rejected
 Not Graduate, Yes,500000,1400000,2,551, Approved
 Not Graduate, No,4900000,9800000,16,324, Rejected
 Not Graduate, No,3100000,9500000,20,514, Rejected
 Graduate, No,8200000,28100000,12,696, Approved
 Not Graduate, Yes,2400000,5600000,4,662, Approved
 Not Graduate, Yes,7000000,24000000,6,336, Rejected
 Not Graduate, Yes,9000000,31500000,10,850, Approved
 Not Graduate, No,9800000,25300000,12,313, Rejected
 Graduate, No,5700000,12000000,6,363, Rejected
 Not Graduate, Yes,800000,1600000,10,436, Rejected
 Not Graduate, Yes,8400000,22000000,2,830, Approved
 Graduate, No,4900000,11900000,8,612, Approved
 Graduate, Yes,1700000,3400000,8,691, Approved
 Not Graduate, No,1600000,6200000,18,636, Approved
 Graduate, Yes,8000000,27200000,6,348, Rejected
 Graduate, No,3600000,7700000,16,830, Approved
 Not Graduate, Yes,1500000,5100000,6,352, Rejected
 Graduate, No,7800000,18100000,2,712, Approved
